DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 86', 'SKU: GH-BMM-1070', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 87', 'SKU: GH-BMM-1071', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 88', 'SKU: GH-BMM-1072', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 89', 'SKU: GH-BMM-1073', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 90', 'SKU: GH-BMM-1074', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 91', 'SKU: GH-BMM-1075', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 92', 'SKU: GH-BMM-1076', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 93', 'SKU: GH-BMM-1077', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 94', 'SKU: GH-BMM-1078', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 95', 'SKU: GH-BMM-1079', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 96', 'SKU: GH-BMM-108', 'image_links: https://bax.tools/photos/TH309288.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 97', 'SKU: GH-BMM-1080', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 98', 'SKU: GH-BMM-1081', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_39-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 99', 'SKU: GH-BMM-1082', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 100', 'SKU: GH-BMM-1083', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 101', 'SKU: GH-BMM-1084', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 102', 'SKU: GH-BMM-1085', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 103', 'SKU: GH-BMM-1086', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 104', 'SKU: GH-BMM-1087', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 105', 'SKU: GH-BMM-1088', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 106', 'SKU: GH-BMM-1089', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 107', 'SKU: GH-BMM-109', 'image_links: https://i.imgur.com/P3jeKsO.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 108', 'SKU: GH-BMM-1090', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 109', 'SKU: GH-BMM-1091', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 110', 'SKU: GH-BMM-1092', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_37-1.jpg', 'attachment_links: nan')
